#PT eta phi vx vy vz charge
13.2095 0.11846 -0.656835 -0.000702579 0.000171349 -10.3505 -1
3.12293 0.183989 -0.88658 -0.000366922 0.000525042 -11.927 -1
2.11124 0.221882 -0.665741 -0.00151332 0.000787961 -12.9827 1
4.24854 0.021379 -0.794743 -0.000476519 -0.000437233 -10.4833 -1
18.1641 -0.887904 -0.852561 0.000542127 5.464e-05 12.1775 1
53.5066 0.0431582 -0.771734 -0.00107131 0.0013439 -10.5133 1
7.56895 -0.838511 -0.837607 -0.000768094 -0.000775317 13.8448 -1
3.97776 0.128856 -0.861111 -0.00338598 0.00046396 -11.3118 1
2.38973 -0.776764 -0.827871 -0.00167929 -0.000538232 11.2031 -1
3.43436 0.0651956 -0.734634 -0.000466018 -0.000802159 -10.7317 1
3.72259 -0.000102139 -0.900647 -0.00251793 0.000545286 -10.4575 1
6.40803 0.0262333 -0.767174 0.000290713 -4.13922e-05 -11.0116 1
25.5948 0.184958 -0.626893 0.000860708 -3.70112e-06 -11.5276 1
3.55864 -0.769827 -0.640801 0.00236501 0.000716924 11.7815 -1
12.5463 0.283966 -0.899128 -0.00233799 0.000658337 -13.2161 1
2.90038 0.0777557 -0.776732 -0.000324191 9.57292e-05 -11.3548 1
6.55219 -0.00147972 -0.671574 -0.000720562 0.000260766 -10.5499 1
7.44509 0.133612 -0.867925 -0.00177054 -0.00137821 -10.021 1
2.4734 -0.850084 -0.994226 0.00244878 -0.0015599 11.2222 -1
9.14906 0.0314558 -0.954369 -0.000439776 -0.000667454 -10.8064 -1
2.83947 0.190131 -0.718372 -0.00071479 0.00018087 -12.4337 -1
11.2751 0.108578 -0.58486 -0.000462768 -0.000746589 -11.3134 1
3.00877 0.063713 -0.879768 -0.0020999 0.000372958 -11.896 1
3.6766 -0.89024 -0.877672 0.00236381 -0.000278087 12.6401 -1
2.65547 0.25567 -0.827857 -0.000255343 -0.00117728 -12.5135 -1
2.33761 -0.789371 -0.846672 -0.000502859 -5.19811e-05 12.1005 -1
2.43703 0.126394 -0.67444 -0.000290857 0.000167551 -10.0791 -1
2.91918 0.212989 -0.946839 -0.000721094 -0.00123674 -11.6474 -1
2.03858 0.104539 -0.775434 0.00012494 -0.000319413 -10.0281 1
2.55514 0.0932656 -0.902062 -0.00135495 -0.000447207 -11.419 -1
7.29766 -0.827301 -0.84529 0.00287845 0.000476098 11.271 1
3.64222 0.0740438 -0.620156 -0.00024863 -0.000798737 -10.8232 1
19.5077 0.0498945 -0.612016 -0.0036002 -0.00147616 -10.5052 1
2.16041 -0.749115 -0.826789 0.000731711 -0.000586664 10.9528 1
2.56185 0.0175392 -0.768281 0.000740104 0.00144061 -10.2154 1
2.88577 0.210872 -0.705585 1.62642e-05 0.000595088 -12.1419 1
11.5992 -0.796508 -0.826187 -0.00133637 0.000712077 11.2781 1
5.43976 -0.742091 -0.739684 -0.00140268 -9.07643e-05 10.5736 1
2.05018 -0.821404 -0.532708 0.00237856 -0.000450031 10.3171 1
7.05936 0.115227 -0.817058 -0.00123503 -0.000291531 -10.031 -1
3.4773 0.247868 -1.00387 -0.003529 -0.000462668 -13.22 -1
3.5347 -0.775932 -0.922753 0.00233407 0.000208187 10.1846 -1
3.3573 -0.846292 -0.909436 -0.00232929 -0.000261367 11.8029 1
335.8 0.165625 -0.75757 0.0024404 0.000461326 -10.7336 1
4.58176 -0.758945 -0.731306 -0.00217148 0.00148543 10.4913 1
2.31112 0.126478 -0.585285 -0.0016156 -0.00053282 -10.1979 1
9.36526 0.0673628 -0.988293 -0.00244546 0.00021962 -10.5135 -1
3.12129 -0.804445 -0.778565 -0.00285644 -0.00101074 11.7468 1
2.39828 -0.801617 -0.928859 0.00137896 8.75765e-05 11.4622 -1
2.10516 0.222897 -0.913695 -0.000969156 0.00102459 -13.5456 -1
