tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
45,15,2.748894,-1.289468,55.2653,110.0950
46,5,2.920624,-2.135226,35.1077,115.0000
46,6,3.001970,-2.224351,62.1864,115.0000
46,7,3.048221,-2.309022,93.9064,115.0000
46,11,-2.748894,-0.121124,25.0206,70.2557
46,12,-2.748894,-0.301362,32.6742,87.7541
46,13,-2.748894,-0.320091,37.3960,93.9771
46,14,-2.748894,-0.421956,44.9936,110.0950
46,15,-2.748894,-0.504071,55.2653,110.0950
47,5,-2.577163,-1.349827,35.1077,115.0000
47,6,-2.488038,-1.431173,62.1864,115.0000
47,7,-2.495765,-1.381178,93.9064,115.0000
47,11,-1.963495,0.596236,25.0206,70.2557
47,12,-1.963495,0.596236,32.6742,87.7541
47,13,-1.963495,0.316460,37.3960,93.9771
47,14,-1.963495,0.281328,44.9936,110.0950
47,15,-1.963495,0.281328,55.2653,110.0950
